City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp(C),Wind Speed
Paita,83,PE,1569548270,93,-5.09,-81.11,17.04,5.06
Yanam,40,IN,1569548270,94,16.73,82.22,26.0,2.1
Ahipara,19,NZ,1569548271,71,-35.17,173.16,18.89,8.86
Diego de Almagro,0,CL,1569548271,91,-26.39,-70.05,6.64,1.15
Katangli,0,RU,1569548271,52,51.71,143.23,15.14,6.69
Catuday,0,PH,1569548271,73,16.29,119.81,28.14,1.71
Coihaique,0,CL,1569548271,62,-45.58,-72.07,11.0,1.5
Damnagar,100,IN,1569548272,90,21.7,71.52,25.54,3.45
Ust-Maya,67,RU,1569548272,61,60.42,134.54,9.54,4.35
Khani,40,GE,1569548272,93,41.96,42.96,16.0,2.1
Road Town,1,VG,1569548272,79,18.42,-64.62,29.0,4.1
Saldanha,0,PT,1569548272,80,41.42,-6.55,13.04,1.62
Huntsville,1,US,1569548123,73,34.73,-86.59,28.0,2.6
Ambilobe,23,MG,1569548273,74,-13.19,49.05,20.04,1.84
Cartagena del Chaira,52,CO,1569548273,98,1.33,-74.84,21.94,1.39
Nome,1,US,1569548273,74,30.04,-94.42,27.78,1.5
Yenagoa,75,NG,1569548273,93,4.92,6.26,24.04,2.5
Tarakan,7,ID,1569548273,71,3.3,117.63,28.94,2.86
Healdsburg,90,US,1569548238,77,38.61,-122.87,23.0,3.1
Astana,75,KZ,1569548274,93,51.13,71.43,5.0,2.0
Port Hardy,20,CA,1569548274,66,50.7,-127.42,13.0,2.6
Qidong,33,CN,1569548274,59,31.81,121.66,30.56,3.41
Tomatlan,96,MX,1569548274,80,19.93,-105.25,27.64,8.5
Puerto Plata,40,DO,1569548274,94,19.79,-70.69,26.11,4.92
Ugoofaaru,92,MV,1569548274,64,5.67,73.0,28.64,1.71
Caldwell,1,US,1569548274,35,43.67,-116.69,25.0,2.1
Waitati,75,NZ,1569548275,62,-45.75,170.57,13.33,10.28
Vardo,1,US,1569548275,49,39.62,-77.74,22.0,3.6
Hervey Bay,40,AU,1569548275,47,-25.3,152.85,25.0,5.1
Naze,100,NG,1569548275,97,5.43,7.07,23.24,2.0
Tazovskiy,98,RU,1569548275,91,67.47,78.7,1.14,3.07
Digby,33,CA,1569548275,1,44.62,-65.76,16.11,1.34
Pangoa,100,PE,1569548276,89,-12.12,-73.0,21.84,0.75
Puro,13,PH,1569548276,73,13.13,123.76,28.94,2.66
Zhoucheng,100,CN,1569548276,78,31.35,119.33,23.0,3.0
Sivaki,0,RU,1569548276,60,52.63,126.75,18.24,2.27
Indianola,1,US,1569548276,68,40.24,-100.42,22.0,5.1
Guaimaro,75,CO,1569548276,94,10.58,-74.71,26.0,1.0
Sardarshahr,0,IN,1569548277,59,28.43,74.48,29.44,3.13
Zhuhai,0,CN,1569548277,58,40.71,112.04,15.0,2.0
Adrar,0,DZ,1569548277,9,27.87,-0.29,30.0,3.6
Havre de Grace,0,US,1569548277,82,39.55,-76.09,21.67,2.86
Leninsk,0,RU,1569548277,56,48.69,45.2,3.0,2.0
Panguna,0,PG,1569548277,73,-6.32,155.48,28.24,4.31
Kargil,0,PK,1569548278,43,34.56,76.13,9.64,2.31
Sar-e Pul,0,AF,1569548278,18,36.22,65.93,26.24,0.8
Upata,0,VE,1569548278,90,8.02,-62.41,22.14,1.56
Storsteinnes,90,NO,1569548278,93,69.24,19.23,5.0,7.7
Doha,0,QA,1569548278,79,25.29,51.53,32.0,1.0
Aranos,0,NA,1569548279,24,-24.14,19.11,9.24,5.03
Husavik,100,CA,1569548279,94,50.56,-96.99,7.22,1.34
Manacapuru,40,BR,1569548279,78,-3.3,-60.62,26.0,2.1
Itarema,5,BR,1569548279,80,-2.92,-39.92,23.74,3.41
Marzuq,21,YE,1569548279,51,14.4,46.47,22.44,1.37
Lumeje,25,AO,1569548280,63,-11.56,20.78,17.44,3.04
Fairbanks,75,US,1569548280,75,64.84,-147.72,6.0,2.6
Barra do Garcas,92,BR,1569548280,86,-15.89,-52.26,21.24,0.51
Beira,20,ES,1569548280,82,43.2,-8.36,19.44,7.2
Sioux Lookout,90,CA,1569548021,71,50.1,-91.92,10.0,2.1
Ambon,90,FR,1569548280,93,47.55,-2.56,16.67,2.1
Acapulco,75,MX,1569548066,79,16.86,-99.88,29.0,4.1
San Rafael,82,AR,1569548281,32,-34.61,-68.33,19.14,1.97
Puerto Penasco,0,MX,1569548281,69,31.32,-113.53,27.22,2.68
Vila Velha,0,BR,1569548281,74,-3.71,-38.6,27.0,6.7
Flinders,0,AU,1569548281,24,-34.58,150.85,23.33,7.7
Novaya Ladoga,100,RU,1569548281,99,60.11,32.31,6.67,5.15
Nizwa,50,OM,1569548282,61,22.93,57.53,23.94,0.99
Banda Aceh,96,ID,1569548282,72,5.56,95.32,28.04,1.7
Kerman,0,IR,1569548282,14,30.29,57.06,15.0,1.0
Saint-Francois,75,FR,1569548282,87,46.42,3.91,13.0,2.88
Porto Novo,75,BR,1569548282,93,-23.68,-45.44,17.0,1.5
Prince Rupert,40,CA,1569548151,71,54.32,-130.32,11.0,4.6
Berdigestyakh,32,RU,1569548283,72,62.1,126.7,5.64,2.54
Leningradskiy,100,RU,1569548283,85,69.38,178.42,1.64,7.04
Horsham,99,AU,1569548283,80,-36.71,142.2,12.74,8.86
Auki,100,NG,1569548283,80,12.18,6.51,24.14,4.2
Molfetta,0,IT,1569548283,93,41.2,16.6,18.0,3.6
Kholtoson,99,RU,1569548284,91,50.3,103.31,1.74,4.02
Trbovlje,20,SI,1569548284,100,46.15,15.04,12.22,1.29
Matabao,65,PH,1569548284,75,8.96,125.4,27.64,2.92
Poum,9,MK,1569548284,90,41.28,20.71,9.34,0.75
Kamennogorsk,90,RU,1569548284,93,60.95,29.13,8.0,1.5
Waddan,0,LY,1569548284,74,29.16,16.14,21.34,1.04
Hopelchen,90,MX,1569548285,94,19.77,-89.85,25.0,2.6
Kimbe,43,PG,1569548285,70,-5.56,150.15,29.54,1.91
Ust-Tarka,100,RU,1569548285,51,55.56,75.71,4.84,3.86
Mehamn,100,NO,1569548285,98,71.03,27.85,6.44,6.47
Padang,100,ID,1569548285,83,-0.92,100.36,26.04,3.52
Mehran,0,IR,1569548285,28,33.12,46.17,21.0,2.1
Chacaltianguis,79,MX,1569548286,81,18.3,-95.84,27.78,1.62
Bulgan,82,MN,1569548286,53,48.81,103.53,13.94,5.11
Dunn,1,US,1569548286,69,35.31,-78.61,28.33,1.5
Providencia,100,CO,1569548286,90,1.24,-77.6,11.94,1.19
Lagoa,0,PT,1569548286,77,37.14,-8.45,20.0,1.0
Ponta Delgada,40,PT,1569548286,88,37.73,-25.67,22.0,3.6
Lukovetskiy,40,RU,1569548287,93,64.29,41.92,3.0,2.0
Tupik,100,RU,1569548287,95,54.43,119.94,9.34,2.64
Madang,0,CN,1569548287,42,35.32,102.79,8.64,1.84
Pishin,0,PK,1569548287,44,30.58,67.0,22.64,0.35
Amot,100,NO,1569548287,93,59.57,7.99,8.89,3.01
Juneau,75,US,1569548268,81,58.3,-134.42,10.0,2.6
Cururupu,0,BR,1569548288,96,-1.82,-44.87,22.74,1.19
Salinas,1,US,1569548288,73,36.67,-121.66,24.0,8.2
Alekseyevka,40,RU,1569548288,89,53.25,50.49,2.0,1.0
The Pas,90,CA,1569548288,70,53.82,-101.24,7.0,3.6
Portobelo,40,PA,1569548288,83,9.55,-79.65,28.0,1.5
Alta Floresta,25,BR,1569548288,95,-9.87,-56.08,21.54,1.39
Oosterhout,90,NL,1569548117,93,51.65,4.86,15.0,4.1
Mecca,0,SA,1569548023,14,21.43,39.83,29.44,3.53
Beyneu,93,KZ,1569548289,35,45.32,55.19,11.14,7.26
Alenquer,0,BR,1569548289,83,-1.95,-54.74,26.0,2.71
Mayuge,100,UG,1569548289,97,0.46,33.48,17.54,0.96
Aswan,0,EG,1569548289,17,24.09,32.9,28.0,2.6
Coari,34,BR,1569548289,73,-4.09,-63.14,25.94,1.07
Okha,0,RU,1569548290,59,53.59,142.95,13.24,3.83
Mayskiy,90,RU,1569548290,100,43.63,44.06,12.0,1.0
Chicama,0,PE,1569548290,87,-7.84,-79.15,16.0,4.1
Xiangxiang,36,CN,1569548290,33,27.73,112.52,30.04,2.31
Carbonia,5,IT,1569548290,83,39.17,8.53,21.0,2.6
Pudur,20,IN,1569548290,88,9.29,78.14,27.0,1.0
Newton,13,US,1569548291,100,42.34,-71.21,15.56,3.1
Kaeo,30,NZ,1569548291,71,-35.1,173.78,18.89,5.91
Tallahassee,40,US,1569548112,74,30.44,-84.28,31.0,2.1
Caborca,0,MX,1569548291,79,30.58,-111.1,23.89,0.89
Kuopio,90,FI,1569548291,93,62.89,27.68,7.0,3.6
Katherine,0,AU,1569548291,31,-14.47,132.26,32.0,4.1
Whitianga,55,NZ,1569548291,65,-36.83,175.7,17.78,5.81
Matane,90,CA,1569548292,100,48.83,-67.52,9.0,2.6
Tomari,4,RU,1569548292,69,47.76,142.06,13.94,5.78
Herat,0,AF,1569548292,23,34.35,62.22,17.0,0.84
Alofi,75,NU,1569548292,65,-19.06,-169.92,26.0,7.2
Groningen,90,NL,1569548292,100,53.22,6.57,14.44,4.1
La Palma,100,CO,1569548292,94,5.36,-74.39,21.04,1.28
Rypefjord,75,NO,1569548293,100,70.63,23.67,7.0,6.2
Mayo,75,CA,1569548293,36,63.59,-135.9,9.0,4.1
Korcula,0,HR,1569548293,93,42.96,17.14,14.0,1.5
Srednekolymsk,94,RU,1569548293,51,67.46,153.71,1.74,2.15
College,75,US,1569548293,75,64.86,-147.8,6.0,2.6
Mitchell,1,US,1569548294,55,43.71,-98.03,18.0,5.7
Dombarovskiy,0,RU,1569548294,74,50.76,59.54,3.14,2.76
San Angelo,1,US,1569548014,36,31.46,-100.44,33.0,4.6
Pielesti,0,RO,1569548294,93,44.33,23.95,13.89,3.6
Balvi,0,LV,1569548294,87,57.13,27.27,2.74,0.95
Batticaloa,99,LK,1569548167,86,7.71,81.69,24.14,1.51
Omsukchan,100,RU,1569548295,76,62.53,155.8,-4.07,3.09
Urucara,5,BR,1569548295,78,-2.54,-57.76,25.24,0.51
Noumea,75,NC,1569548000,42,-22.28,166.46,27.0,6.2
Jieshi,0,CN,1569548295,69,22.82,115.83,26.67,1.19
Heyang,0,CN,1569548295,52,26.1,107.47,22.64,1.39
Agboville,77,CI,1569548295,99,5.93,-4.21,22.04,1.09
Bara,99,NG,1569548295,71,10.41,10.6,24.24,1.68
Chilca,40,PE,1569548296,54,-13.22,-72.34,12.0,1.0
Narwana,1,IN,1569548296,76,29.6,76.12,26.04,4.0
Marienburg,40,DE,1569548296,100,52.12,9.98,17.0,3.1
Baruun-Urt,49,MN,1569548296,25,46.68,113.28,21.34,9.92
Olinda,100,AU,1569548296,51,-37.84,145.39,20.56,10.3
Vermillion,1,US,1569548297,59,42.78,-96.93,18.33,3.1
Paragominas,38,BR,1569548297,91,-3.0,-47.35,22.94,1.56
Kaya,20,NG,1569548297,56,13.31,12.68,27.54,2.57
Lagunas,0,PE,1569548297,61,-5.23,-75.68,25.14,0.65
Chapleau,5,CA,1569548297,87,47.85,-83.4,6.0,2.1
Butterworth,75,MY,1569548297,88,5.4,100.37,27.0,1.0
Santa Maria da Boa Vista,32,BR,1569548298,65,-8.8,-39.83,22.94,5.46
Mahibadhoo,87,MV,1569548298,67,3.78,72.97,28.34,3.72
Oudtshoorn,0,ZA,1569548298,51,-33.59,22.2,15.0,2.1
